Date,open,high,low,close,Volume,Volume MA,RSI,
01/10/2019,68.3,68.3,68.3,68.3,NaN,NaN,50.29250115,01/01/1970
01/11/2019,68.3,68.3,68.3,68.3,NaN,NaN,50.29250115,01/01/1970
01/12/2019,68,68,68,68,NaN,NaN,48.47167841,01/01/1970
01/01/2020,66.9,66.9,66.9,66.9,NaN,NaN,42.40882841,01/01/1970
01/02/2020,67.4,67.4,67.4,67.4,NaN,NaN,45.73158051,01/01/1970
01/03/2020,67.1,67.1,67.1,67.1,NaN,NaN,44.08797309,01/01/1970
01/04/2020,66.4,66.4,66.4,66.4,NaN,NaN,40.43612361,01/01/1970
01/05/2020,66.7,66.7,66.7,66.7,NaN,NaN,42.62938376,01/01/1970
01/06/2020,67.7,67.7,67.7,67.7,NaN,NaN,49.32736751,01/01/1970
01/07/2020,68.3,68.3,68.3,68.3,NaN,NaN,52.88186796,01/01/1970
01/08/2020,67.9,67.9,67.9,67.9,NaN,NaN,50.34635094,01/01/1970
01/09/2020,66.8,66.8,66.8,66.8,NaN,NaN,44.08626335,01/01/1970
01/10/2020,67.1,67.1,67.1,67.1,NaN,NaN,46.05626538,01/01/1970
01/11/2020,67.1,67.1,67.1,67.1,NaN,NaN,46.05626538,01/01/1970
01/12/2020,67,67,67,67,NaN,NaN,45.43738095,01/01/1970
01/01/2021,64.7,64.7,64.7,64.7,NaN,NaN,34.09069146,01/01/1970
01/02/2021,65.9,65.9,65.9,65.9,NaN,NaN,42.20062206,01/01/1970
01/03/2021,65.8,65.8,65.8,65.8,NaN,NaN,41.73970457,01/01/1970
01/04/2021,66.8,66.8,66.8,66.8,NaN,NaN,47.87120429,01/01/1970
01/05/2021,67.2,67.2,67.2,67.2,NaN,NaN,50.13199669,01/01/1970
01/06/2021,68.5,68.5,68.5,68.5,NaN,NaN,56.70401365,01/01/1970
01/07/2021,70.1,70.1,70.1,70.1,NaN,NaN,63.14224891,01/01/1970
01/08/2021,68.2,68.2,68.2,68.2,NaN,NaN,53.0532222,01/01/1970
01/09/2021,67.8,67.8,67.8,67.8,NaN,NaN,51.19850549,01/01/1970
01/10/2021,67.5,67.5,67.5,67.5,NaN,NaN,49.79253564,01/01/1970
01/11/2021,67.9,67.9,67.9,67.9,NaN,NaN,51.6971831,01/01/1970
01/12/2021,67.6,67.6,67.6,67.6,NaN,NaN,50.16026034,01/01/1970
01/01/2022,67,67,67,67,NaN,NaN,47.14166591,01/01/1970
01/02/2022,67.9,67.9,67.9,67.9,NaN,NaN,51.82487726,01/01/1970
01/03/2022,67.7,67.7,67.7,67.7,NaN,NaN,50.74883693,01/01/1970
01/04/2022,68.5,68.5,68.5,68.5,NaN,NaN,54.79224763,01/01/1970
01/05/2022,68.7,68.7,68.7,68.7,NaN,NaN,55.76987692,01/01/1970
01/06/2022,70.7,70.7,70.7,70.7,NaN,NaN,64.12476643,01/01/1970
